headline	content	category	date	link
Finfinneetti hoteelonni abbaa urjii baatidhaan galii Doolaara miiliyoona 35 dhabaa jiru	  Finfinneetti hoteelonni abbaa urjii tahan baatiin galii Doolaara miiliyoona 35 dhabaa jiru. Finfinneetti hoteelonni sadarkaan abbaan urjii laatameef sabaaba vaayrasii koroonatiin  baatii tokkotti galii Doolaara Ameerikaa miiliyoona 35 akka dhaban Waldaan Abbootii Hooteela Finfinnee beeksisan. COVID-19  weerara adduunya tahu isaan biyyoota garaagaraa rakkoo fayyaarraan gahaa jirurra darbee diinagdees miidhaa jira. Vaayrasichaaf fallii hanga argamutti biyyoota akka Ityoophiyaa guddinarra jiran irratti rakkoon diinagdee fi hawaasuummaa  cimsuu akka dandahu ni tilamaama. Kanafiis Ityoophiyaatti yeroo ammaa kana dameen tuuriizimii fi keessummeessitoota, qonnaa, oomishaa indaastirii fi daldalaa alaarratti dhiibbaa hamaa akka qaqqabsisuu qorannoo ni muulhdhisa. Ityoophiyaattii weerarichi baatiiwwaan 6 kan turuu yoo tahe ammo biyyattitti hirhinni oomisha Birrii biiliyoona 139.2 muudachu dandahaa jedhameera. Dhiibbaa weerara vaayrasii koroonaan Finfinneetti kan argaman hooteeloonni gurguddoon baatii tokkoon gidduugaleessan galii doolaraa Ameerikaa miiliyoonaa 35 dhabsisaa jiraachuu himameera. Waldaan Abbootii Hooteeloota Finfinnee jala jiran hooteelloonni 130 keessaa 126 irratti qorannoon yeroo gabaaba taasifamee ni mirkaneessa. Walitti qaba waldaa abbootii hooteeloota fi daayreekatarri Hooteela Juppitaar obbo Biiniyaam Bisiraat, magaalichatti hoteelloonni abbaa urjii 2 hanga 5 haalaa gabaa yerootiif qaamaa qorinnichaa tahuu himaniiru. Rakkichii akka hin babballanneef tarkaanfiin motuummaan fudhatamee ni jajjabeeffama jedhaniiru.	biiznasii	2020-05-14	https://www.fanabc.com/afaanoromoo/finfinneetti-hoteelloonni-abbaa-urjii-taan-baatiin-galii-doolaara-miiliyoona-35-dhaba-jiru/
Warshaan Zayitaa ‘W.Ah harha ni eebbifama	 Magaalaa Dabra Maarqoositti Warshaan Zayitii ‘W.Ah baasii Birrii biiliyoons 5.2 ijaarrame harha ni eebbifama.    Naannoo Amaaraa magaalaa Dabra Maarqoositti warshaan Zayita Nyaataa baasii Birrii biiliyoona 5.2n ijaarame harha bakka hoggantoonni mootummaa olaanoo Federaalaa fi naannolee argamanitti harha ni eebbifama.    Warshaan Zayitaa ‘W.Ah jedhamu kun Zayita liitira miiliyoona 1 fi kuma dhibba 3 kuma 50 ol guyyaatti oomishuu dandaha jedhame.    Warshichi % 40 Saliixarraa Zayita kan oomishu tahuus himameera.    Hanga ammaatti lammiilee kuma 1 fi 500 oliif carraa hojii uumuu ibsameera.    Wayita humna guutuun hojii eegalee lammiilee kuma 3 fi 600 carraa hojii ni uuma jedhameera.    Misikkir Sinaaffiq   ;                	biiznasii	2021-06-07	https://www.fanabc.com/afaanoromoo/warshaan-zayitaa-w-a-hara-ni-eebbifama/
Baatii Onkololeessaa galiin Birrii biiliyoonni 53 ol walitti qabamuu ibsame	  Baatii Onkololessaa qofa galiin Birrii biiliyoonni 53 ol walitti qabamuu Ministeerri Galiiwwanii beeksiise. Baatii Onkololeessaa Birrii Biiliyoona 56 fi Miiliyoona dhibba 5 fi miiliyoona 88 fi kuma dhibba 8 fi kuma 99 ol walitti qabuuf karoorfamee Birrii biiliyoonni 53 fi Miiliyoonni dhibbi 9 fi miiliyoonni 6 fi kumni dhibbi 8 ol walitti qabamuu Ministeerichi ibseera. Galii bara darbe yeroo walfakkaatuun yoo madaallame Birrii biiliyoona 9 fi miiliyoona dhibba 6 fi miiliyoona 57 ol caalmaa qabaachuu Ragaan Ministeerichaarraa argame ni muulhisa. Taaksii biyya keessarraa Birrii biiliyoonni 42 fi miiliyoonni 67 ol, Qaraxa daldala biyya alaaraa ammoo Birrii biiliyoonni 11 fi miiliyoonni dhibbi 8 fi miiliyoonni 39 ol argamuu ibsameera.      	biiznasii	2021-11-17	https://www.fanabc.com/afaanoromoo/baatii-onkololeessaa-galiin-birrii-biiliyoonni-53-ol-walitti-qabamuu-ibsame/
Meeshaaleen kontiroobaandii Birrii miiliyoona 100 olitti tilmaamaman tohataman	  Meeshaaleen kontiroobaandii Birrii miiliyoona 103 olitti tilmaamaman tohatamuu ibsame. Komishiniin Gumruukaa Sadaasa 23- 29,2015tti hordoffii taasiseen meeshaaleen kontiroobaandii alaa galan Birrii miiliyoona 93.8htti shallagamaniifi meeshaaleen al-ergii Birrii miiliyoona 9.7olitti tilmaamaman tohatamuu eerameera. Meeshaaleen tohataman uffata, bobahaa, beelladoota, meeshaalee elektirooniksii, buna, qorichoota, konkolaattota, meeshaalee miidhaginaa, meeshaalee waraanaa, jimaa, baala sammuu namaa hadoochu, zayita nyaataafi maallaqa biyyoota garaagaraa tahuu ibsameera. Meeshaaleen kunneen qindoomina hojjettoota komishinichaa, poolisii federaalaa, miseensota poolisii naannoleefi hawaasaan tohatamuu eeruun, namoonni dhuunfaa meeshaalee kanneen daddabarsaa turan 26 tohatamuus ibsameera. Komishinichi qaamolee seera kabachiisuurratti bobbahan hunda galateeffachuu ragaan Komishinii Gumruukaarraa argame ni mulhisa. Kontiroobaandiifi daldala seeraan alaa ittisuuf qaamoleen dhimmatootaafi hawaasni gahee isaanii akka bahatan komishinichi waamicha dhiyeesseera.     	biiznasii	2022-12-10	https://www.fanabc.com/afaanoromoo/meeshaaleen-kontiroobaandii-birrii-miiliyoona-100-olitti-tilmaamaman-toataman/
Weerarri vaayrasii koroonaa diinagdeerratti dhiibbaa uumuu malu hirhisuuf murteewwan imaammataa dabarfamaniiru	  Weerarri vaayrasii koroonaa diinagdeerratti dhiibbaa uumuu malu hirhisuuf murteewwan imaammataa dabarfamaniiru.       Ministir deettaan Ministeera Maallaqaa Dooktar Iyyoob Takkaalliny akka ibsanitti weerarichaan dhiibbaa diinagdeerratti uumamuu malu hirhisuuf murteewwan imaammataa dabarfamuu ibsaniiru.       Murteewwan dabarfaman idaa gibira kuufamaa waliin kan walqabatanii fi jireenya lammiileerratti kan xiyyeeffatanidha.       Dhiibbaa uumamuu malu qolachuufis ummataa fi mootummaan tumsaan hojjechaa jiraachuu beeksisaniiru.       Dhaabbilee daldala alaa fi damee tajaajilaarratti bobbahaniif baankonni liqaa dabalataa akka dhiyeessanii fi yeroon kaffaltiis akka siqu taasifameera.       Manni Maree Ministirootaa dhiibbaa kana dandamachuuf murteewwan abbaa qabxii 15 dabarsuun ni yaadatama.       Kanaanis mootummaan federaalaa dhaabbilee biiznasii idaa gibiraa kuufamaa bara 1997 amma 2007 qabaniif idicha ni haqa.       Gibira kaffalanii argannoo oodiitii kan qaban, murtoon argannoo oodiitii ega dabarfamee eegalee baatii tokko keessatti gibira firiin kaffalan fayyadamuun yeroo kaahame keessatti kaffalanii akka xumuran murtoon darbeera jedhan.       Isaanis %25 duursa, kan hafemmoo yeroo kennameef keessatti kaffalanii akka xumuran, adabbiin gibiraa fi dhallisaa ni kaafamaaf.       Siha tokkoon gibira firiin kaffaluu kan dandahaniif kaffaltiin amma %10 ni taasifamaaf.       Murticha raawwachiisudhaafis Ministeerri Galiiwwanii fi Ministeerri Maallaqaa qajeelfama qopheessaa jiru.       Argannoo oodiitii fi idaa kuufamaadhan himannaarra kan jiran, gibira isaanii firiin kaffalanii himata keessaa bahuu ni dandahu.       Kun garuu fedhii kaffaltoota gibiraarratti kan hundaahedha.       Weerara vaayrasii koroonaatin dhaabbilee fi namoota kireeffattootaf ilaalcha kaffaltii kiraa godhaniif gibira galii kiraa haqeera.       Sababii weerarichaatin dhaabbileen hojjettootaf mindaa kaffaluu dadhabanis, gibira mindaa baatii 4 hambisuudhan hojjettoota isaanitiif mindaa kaffaluu dandahu jedhan.       Murteen imaammataa kun dhaabbilee barnoota dhuunfaa, dhaabbilee fayyaa fi dhaabbilee biiznasii addaddaa kan hammatudha.       Murtichi diinagdee utubuu fi dhaabbileen hojjettoota isaanii osoo hin bittinsin hojii isaanii akka itti fufan gargaara.                    	biiznasii	2020-04-30	https://www.fanabc.com/afaanoromoo/weerarri-vaayrasii-koroonaa-diinagdeerratti-dhiibbaa-uumuu-malu-hirisuuf-murteewwan-imaammataa-dabarfamaniiru/
Guyyoota 16 darban keessatti meeshaaleen koontiroobaandii gatii Birrii miiliyoona 100 fi miiliyoona 29 olitti tilmaamamu toohatame	 Guyyoota 16 darban keessatti meeshaaleen koontiroobaandii gatii Birrii miiliyoona 100 fi miiliyoona 29 olitti tilmaamamu toohatame. Guyyoota 16 darban keessatti meeshaaleen koontiroobaandii gatii Birrii miiliyoona 100 fi miiliyoona 29 olitti tilmaaman, burjaajjii taaksii fi daddabarsa maallaqaa seeraan alaa irra gahamee mootummaaf galii taheera. Kanneen keessaa Doolaarri Ameerikaa 449,700 sarara Huumaraan, warqeen giraama 23,000 tilmaamaan gatii Birrii miiliyoona 46 qabu karaa buufata xiyyaaraa Booleen biyyaa bahuuf otuu jiruu toohatameera.  Meeshaaleen eleektirooniksii, mootar saaykiloonni, meshaaleen waraanaa, meeshaaleen faayaa, baalli sammuu namaa hadhoochuu, konkolaattota maqaa tuuristii fi karaa seeraan alaan galanii fi meeshaaleen biroon toohatamaniiru. Meeshaaleen kunneen buufataalee toohannoo Harar, Mojoo, Mooyyaalee, Dirree Dawaa, Bulee Horaa, Kombolchaa, buufata xiyyaaraa Boolee fi Cinaaksaan akkasumas maloota garagaraa fayyadamuun biyyarra baasuu fi galchuuf otuu yaalanii kan toohataman tahuu Ministeerri Galiiwwanii beeksiseera.	biiznasii	2020-08-22	https://www.fanabc.com/afaanoromoo/guyyoota-16-darban-keessatti-meeshaaleen-koontiroobaandii-gatii-birrii-miiliyoona-100-fi-miiliyoona-29-olitti-tilmaamamu-tooatame/
Meeshaaleen kontiroobaandii Birrii miiliyoona 106 olitti tilmaamamu tohatame	  Meeshaaleen kontiroobaandii Birrii miiliyoona dhibba 1 fi miiliyoona 6 fi kuma dhibba 1 olitti tilmaamamu tohatamuu komishiniin Gumrukaa beeksiise.    Hordoffii torbee darbe keessa taasiifameen meeshaaleen alaa galuuf ture Birrii miiliyoona 92.8 fi kan alatti bahuuf ture Birrii miiliyoona 13.3tti tilmaamamu dameewwan Gumrukaa garaagaraatti tohatamuu ibsameera.    Meeshaaleen kunneen Dameewwan Gumrukaa Dirree Dawaa, Aqaaqii fi Jigjigaatti tohatamuu ibsameera.    Uffataaleen, Meeshaaleen Elektirooniksii, Bunni, Qorichaaleen, meeshaaleen faayaa, meeshaaleen waraanaa, baalli sammuu adoochu fi maallaqoonni biyyoota garaagaraa tohatamuu Ragaan Komishinii Gumrukaarraa argame ni muulhisa.                        	biiznasii	2022-02-12	https://www.fanabc.com/afaanoromoo/meeshaaleen-kontiroobaandii-birrii-miiliyoona-106-olitti-tilmaamamu-toatame/
Daldalli alaa Ityoophiyaa %13 guddateera  MM Dooktar Abiy	- Daldalli alaa Ityoophiyaa %13 guddateera jedhan muummee ministiraa Dooktar Abiy Ahimad.       Dooktar Abiy ibsa Mana Maree Bakka Buhoota Ummataa FDRItif laataniin bara darbe daldalli alaa %13 guddachuu ibsaniiru.       Koreen diinagdee maakroo; gabaan alaa akka guddatu hojjechaa tureera. Baatiiwwan kurnan darbanitti bunni Doolaara miiliyoona dhibba 6 fi miiliyoona 67 gurguramee guddinni gabaa bunaa %16 galmaahera.       Gabaan oomisha foonii gurgurtaa Doolaara miiliyoona 41, %21 guddateera jedhan muummee ministiraa Dooktar Abiy Ahimad. Hojiin itti aanus guddina kana itti fufsiisudhaan ibsan.       Baatiiwwan kurnan darbanitti warqeen Doolaara miiliyoona 27 baasu Baankii Biyyoolessaa Ityoophiyaatif dhiyaatera.       Bobahaan alaa galaa ture hirhachuu isaatin Doolaara miiliyoona dhibbaa lakkaahamu qusachuu dandeenyerraan ibsan.       Ammeentaa dawaa fi xaahoo alaa galu daballeerras jedhan.       Dameen tajaajilaa sababii koroonaatin miidhameera; reemiitaansiin alaa argamaa tures hirhateera.       Weerarri vaayrasichaa diinagdee miidhaa akka jiru hunduu ni hubata; yaa tahuutii rakkinicharraa dandamachuuf hojjetamaa jira jedhan.       Barana guddina diinagdee %9 galmeessisuun yaadameet ture; yaatahuutii sababii weerara vaayrasii koroonaatin guddinni diinagdee %6 ni galmaaha jedhaniiru.       Filannoon biyyoolessaa akka gaggeeffamu fedhii guddaa qabna turre; Boordiin Filannoo Biyyoolessaa Ityoophiyaa qophii barbaachisaa akka hin taasisin ibsuu isaatii fi weerarri vaayrasiin koroonaa gufate uumera jedhan. Dhumarras hiikkaan heeraa hojiirra akka oolu murtaahuun ni yaadatama jedhan.        	biiznasii	2020-06-08	https://www.fanabc.com/afaanoromoo/daldalli-alaa-ityoophiyaa-guddateera-mm-dooktar-abiy/
Ityoo-Injinaaring Giruup, YTO waliin waliigaltee mallatteesse	-Ityoo-Injinaaring Giruup, Dhaabbataa Chaayinaa YTO waliin waarshaa waggatti tiraaktaroota kuma 10 oomishu ijaaruuf waliigaltee mallatteesseera. Warshichi Magaalaa Mojootti kan ijaaramu yoo tahuu, dhaabbatichi yeroo gabaabaa keessattii warshaa tiraaktaroota oomishuu sadarkaa 1ffaa xumuruun hojiittii kan galamuu tahuun ibsameera. Warshichi ijaaramee waayita xumuramuu guyyatti tiraakteeroota 50, waggatti immoo tiraaktaroota kuma 10 ol oomishuun qonna biyyaa keessaa ammayyessuuf faayidaa olaanaa qabaachuun himameera. Waliigaltechas, Hojii Raawwachiisaa Olaanaa Ityoo-Injinaaringi Giruup Ambaasaaddar Suleemaan Daaddafoo fi Hojii Raawwachisaa Pirojektootaa Dhaabbata YTO CAMACO Waangi Siin mallatteessaniiru. Warshichi tiraaktaroota malee, Koombayinaraa fi maashinaa miidhaan hamuu kan oomishuu tahuun eerameera. Barakat Takkaalinyitu gabaase.  ;        	biiznasii	2023-06-23	https://www.fanabc.com/afaanoromoo/ityoo-injinaaring-giruup-yto-waliin-waliigaltee-mallatteesse/
Dhaabbileen faaynaansii mootummaa sadi walakkaa bara baajatichaatti Birrii biiliyoona 10.7 buufatan	  Dhaabbileen faaynaansii mootummaa walakkaa bara baajataa 2012tti taaksidhaan dura Birrii biiliyoona 10.7 buufachuun ibsame.       Dhaabbileen faaynaansii Eejansii Bulchiinsa Qabeenya Dhaabbilee Misoomaa Mootummaa jala jiran sadi; Baankiin Misoomaa Ityoophiyaa, Dhaabbatni Madinii Ityoophiyaa fi Baankiin Daldalaa Ityoophiyaa walakkaa bara baajatichaatti taaksidhaan dura Birrii biiliyoona 10.7 buufataniiru.       Karoorri isaanii Birrii biiliyoona 9.67 buufachuu ture.       Raawwin kanaas karoora qabamerra caalmaa %11 akka qabu ibsameera.       Gamaaggamni raawwii hojii dhaabbilee misoomaa kanneenii Gurraandhala 5 eegalee amma Gurraandhala 11,2012tti gaggeeffameera.       Gamaaggama gaggeeffamerratti hoggansii fi bakka buutonni dhaabbilee kanneenii argamaniiru.	biiznasii	2020-02-20	https://www.fanabc.com/afaanoromoo/dhaabbileen-faaynaansii-mootummaa-sadi-walakkaa-bara-baajatichaatti-birrii-biiliyoona-10-7-buufatan/
