headline	content	category	date	link
Of dagannaan hawaasaa tamsahinni vaayrasii koroonaa akka dabaluu taasiseera- Ministeera Fayyaa	  Of dagannaan hawaasa biratti muulhdhata jiru tamsahinni vaayrasii koroonaa akka dabalee taasisuu Ministeerri Fayyaa beeksiseera. Ministirri Ministeera Fayyaa Dooktar Liyaa Taaddasaan lakkoofsii namoota vaayrasii koroonaatin qabamanii dabalaa jiraachuu ibsaniiru. Dooktar Liyaan guyyoota kurnan darbanitti lubbuun namoota 120 darbuu himaniiru. Lakkoofsii namoota dhibichi itti cimee hamma ol tahuu fi sababa kanaaf hanqinni giddugalaa yaala muuldhachuu ibsaniiru. Hawaasni haguugduu afaanii fi funyaanii seeraan akka kaawwatuu fi qaamoleen seeraa tohannaa akka taasisaan waamicha dhiyeessaniiru.  Lakkoofsii namoota dhibichi itti cimee hamma ol tahuu fi sababa kanaaf hanqinni giddugalaa yaala muuldhachuu ibsaniiru.   Hawaasni haguugduu afaanii fi funyaanii seeraan akka kaawwatuu fi qaamoleen seeraa tohannaa akka taasisaan waamicha dhiyeessaniiru.   Meeshaaleen hargansuu dhukkubsattootaan qabamuun namoonni biroon dhibichii itti cimee meeshichii dhabamuun duhaa fi jireenyaa gidduu tahuun eegachaa jiru jedhaniiru.   Fayyadamtoonni maaksii hirhachuun kan ibsan Dooktar Liyaan sadarkaa magaalaa Finfinneetti %54 akka biyyaatti ammoo %35 tahuu ibsaniiru.   Dooktar Liyaan ayyaana amantiirratti, ispoortiwwaniirratti, qophilee garagaraa, kaaffee fi reestoraantiirratti waliigala bakka namni itti walitti qabuurratti ofeggannoon akka taasifamuus yaadachiisaniiru  Fuula Feesbuukii keenyan dabalata odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii https://www.youtube.com/c/fanabroadcastingcorporate/ Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2021-03-04	https://www.fanabc.com/afaanoromoo/of-dagannaan-hawaasaa-tamsainni-vaayrasii-koroonaa-akka-dabaluu-taasiseera-ministeera-fayyaa/
Ityoophiyaatti namoota vaayrasii koroonaatin qabaman 11 keessaa 2 gara biyya isaaniitti deebihaniiru	  Ityoophiyaatti namoota vaayrasii koroonaatin qabaman 11 keessaa 2 gara biyya isaaniitti deebihaniiru. Ministeerri Fayyaa FDRI akka beeksisetti namoonni gara biyya isaaniitti deebihan kanneen lammiilee Jaappaani. Namoota biroo vaayrasichi irratti argamee fi isaanin tuttuqqii qabaniif ammoo hordoffiin taasifamaafii jira.  Namoota vaayrasichi irratti argame keessaa arfan dandammachuu eegaluun, mallattoo dhibichaa argisiisuu dhaabaniiru. Imaltoonni biyyoota alaatii xiyyaaran Ityoophiyaa seenan tursa adda bahumsaa guyyootii 14tif Hoteela Skaay Laayitii fi Hoteela Giyoon seenuu jalqabaniiru.	fayyaa	2020-03-23	https://www.fanabc.com/afaanoromoo/ityoophiyaatti-namoota-vaayrasii-koroonaatin-qabaman-11-keessaa-2-gara-biyya-isaaniitti-deebianiiru/
Dirree Dawaatti daahima guddattuu tokko keessaa xannachi kiiloo 5 madaaluu bahe	  Daamni guddattuun umrii waggaa 10 jiraattuu Godina Harargee bahaa aanaa Dadaar ganda Haqabaas keessaa xannachi kiiloo 5 madaaluu wallahansa baqaksanii yaaluutin bahuu ibsame. Baatii tokko dura naannoon garaa ishee guddachaa kan dhufee dahimni kun akka hiriyyoota ishee oligadi fiigde taphachuu fi sochohuu dhadhabuun maatiin ishee ni dubbatu. Dheengadda Hospitaala waliigala Artii Dirree Dawaatti wallahansa baqaksanii yaaluu sahaatii tokkoo fixeen xannachichi bahuu gargaaraan Proofeesar Taamir Niguusee himaniiru. Tashoomaa Haaylutuu gabaase Ityoophiyaa:-Haa Misoomsinu,Haa Ijaarru, Haa qophoofnu!!! Fuula Feesbuukii keenyaan dabalataa odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2022-04-07	https://www.fanabc.com/afaanoromoo/dirree-dawaatti-daaima-guddattuu-tokko-keessaa-xannachi-kiiloo-5-madaaluu-bae/
Hospitaala Ispeeshaalaayizdii Naqamteef deeggarsi meeshaalee waldhaansa fayyaa Birrii miiliyoona 13tti tilmaamamu taasifame	- Hospitaala Ispeeshaalaayizdii Naqamteef deeggarsi meeshaalee waldhaansa fayyaa Birrii miiliyoona 13tti tilmaamamu taasifameera. Hospitaalichi dhaabbata gargaarsaa GIZ jedhamurraa meeshaalee waldhaansaa fi qorannoo fayyaaf gargaaran Birrii miiliyoona 13 tti tilmaamamu gargaarsaan argachuusaa hojii geggeessaan hospitaalichaa Dooktar Taarikuu Taaddasaa himaniiru.  Akka OBN gabaaseetti gama biraan Koolleejjiin Fayyaa Naqamtees meeshaalee adda addaa Birrii miiliyoona lamatti tilmaamamuun dhaabbaticha irraa gargaarsaan argachuu diiniin koollejjichaa obbo Taayyee Taarikuu himaniiru. Fuula Feesbuukii keenyan dabalata odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii https://www.youtube.com/c/fanabroadcastingcorporate/ Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2021-09-14	https://www.fanabc.com/afaanoromoo/hospitaala-ispeeshaalaayizdii-naqamteef-deeggarsi-meeshaalee-waldhaansa-fayyaa-birrii-miiliyoona-13tti-tilmaamamu-taasifame/
Inistityuutichi raayyaa ittisa biyyaaf deeggarsa Birrii miiliyoona 5 taasise	- Inistityuutiin Fayyaa Hawaasaa Ityoophiyaa raayyaa ittisa biyyaaf deeggarsa Birrii miiliyoona 5 fi uffatalee Birrii kuma 200tti tilmaamamu taasiseera. Sirna wali harka fuudhinsichaarratti Ministirri Ministeera Fayyaa Dooktar Liyaa Taaddasaan, raayyaan ittisa biyyaa birmaddummaa biyyaaf shoorri bahaataa jiru olaanaa tahuu ibsaniiru. Inistityuutiin Fayyaa Hawaasaa Ityoophiyaa deeggarsa taasiseef galateeffataniiru. Ministir deetaan Ministeera raayyaa ittisa biyya aadde Maartaa Liwiijii gama isaaniin, dameen fayyaa wayita qormaata kanatti biyyaaf deeggarsi taasisaa jiru olaanaa tahuu himuun, deeggarsa taasifameef galateeffataniiru. Daayreektarri Inistityuutiin Fayyaa Hawaasaa Ityoophiyaa Dooktar Tsiggeradaa Kiflee, deeggarsi taasifamee yeroo itti aanuutti itti fufaa jechuun mirkaneessusaanii ragaan Ministeera Fayyaarra argamee  ni muulhdhisa. Ityoophiyaa :- Haa Misoomsinu, Haa Ijaarru, Haa qophoofnu!!! Fuula Feesbuukii keenyan dabalata odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2022-02-02	https://www.fanabc.com/afaanoromoo/inistityuutichi-raayyaa-ittisa-biyyaaf-deeggarsa-birrii-miiliyoona-5-taasise/
Talaalliin dhibee Gifiraa sadarkaa biyyaalessaatti Muddee 13, 2015 irraa eegalee laatamuufi	  Talaalliin dhibee Gifiraa sadarkaa biyyaalessaatti Muddee 13, 2015 irraa eegalee daahimmaan umrii waggaa gadiif laatamuufi jehdame. Tajaajilli Dhiyeessa Qorichaalee Ityoophiyaa Ministeera Fayyaa waliin tahuun qoricha talaallii dhibee Gifiraa raabsuu Qabiinsa Kuufama Qorichaatti waamamaan Bulchiinsa qoricha talaallii Obbo Habtaamuu Alamaayyoon ibsaniiru. Talaallichi guutuu biyyattiitti kan laatamu yoo tahuu daahimman miiliyoona 16 fi kuma dhibba 2 fi kuma 98 oliif ni kennama jedhame. Maatiin daahimmaan umrii waggaa 5 fi isaa gadii akka talaalchaisan waamichi dhiyaachuu ragaan Tajaajila Dhiyeessa Qorichaalee Ityoophiyaarraa argame ni mulhisa. Odeeffannoowwan waqtaawaa dabalataa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Feesbook:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2022-12-12	https://www.fanabc.com/afaanoromoo/talaalliin-dhibee-gifiraa-sadarkaa-biyyaalessaatti-muddee-13-2015-irraa-eegalee-laatamuufi/
Itiyoophiyaan waltajjii Dhaabbata Fayyaa Addunyaa Ardii Afrikaa 73ffarratti hirmaachaa jirti	- Itiyoophiyaan waltajjii Dhaabbata Fayyaa Addunyaa Ardii Afrikaa 73ffaarratti hirmaachaa jiraachuun ibsame. Waltajjicharratti ajaandaalee fayyaa 20 ol irratti kan marihatamu tahuun ibsameera. Waltajjichaan fayyaa hawaasa Afrikaa ammaa fi tarsiimoo fuulduraa, fayya hawaasa Idil addunyaa waliin kan ilaalamu tahuun eerameera. Kana malees, sanaadni yaada furmaataa qabate afur dhiyaachuun biyyoota miseensotaan kan raggaahuu tahuun ibsameera. Itiyoophiyaan waltajjicharratti ibsa garaagaraa kan kennitu yoo tahu waltajjicha cinaattis jilichi mariiwwan garaagaraarratti kan hirmaatu tahuu ragaan Ministeera Fayyaarraa argame ni mulhisa. #Oromiyaa #Ityoophiyaa Odeeffannoowwan waqtaawaa dabalataa argachuuf; Teelegiraama https://t.me/afanoromofana Yuutiyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Tiwiitara https://twitter.com/fanatelevision nu duukaa buhaa Feesbuuk:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2023-08-28	https://www.fanabc.com/afaanoromoo/itiyoophiyaan-waltajjii-dhaabbata-fayyaa-addunyaa-ardii-afrikaa-73ffarratti-hirmaachaa-jirti/
Yuunvarsitiin Bulee Horaa Dhimma Fayyaarratti qorannoo Idil-Addunyaa Geggeessaa Jira	  Yuunvarsitiin Bulee Horaa Dhimma Fayya hawaasaaf xiyyeeffannoo kunneen naannoo Horsiisee bulaatti qorannoo Idil-Addunyaa Geggeessaa Jiraachuu ibsame. Yuunvarsitiin Bulee Horaa dhimma fayyaa hawaasaaf dursa kennuun naannoo hawaasa horsisee bulaatti akkaataa dhukkuboonni daddarboon namarraa gara beelladaa fi akkasumas beelladarraa gara namaatti daddarban ittisuun dandahamurratti hayyoota yuunvarsitiwwan Ityoophiyaa keessa jiranii fi hayyoota yuunvarsitiiwwan Idil-Addunyaa hirmaachisuun qorannoo dhiyaaterratti marii geggeessaa jira. Konfiraansii Idil-Addunyaa qorannoo dhukkuboota daddarboo akkaataa ittisuun dandahamurratti xiyyeeffachuun kolleejjin saayinsii fayyaa yuunvarsitii Bulee Horaa qindeesse kanarratti hasawaa baniinsaa kan taasisan preezdaantiin yuunivarsitii Bulee Horaa Dooktar Caalaa Waataa jireenyi hawaasa horsisee bulaa beelladoota waliin walitti hidhata waan qabuf qorannoon kun buha guddaa buusaan abdachiisaniiru. Konfiraansiin Idil -Addunyaa dhimma fayyaarratti xiyyeeffachuun yuunivarsitii Bulee Horaatti hayyoota biyya keessa fi alaa hirmaachisuun geggeeffamaa jiru kun guyyaa boris itti fufa. Iddoosaa Abdiitu gabaase Feesbuukii keenyan dabalata odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii https://www.youtube.com/c/fanabroadcastingcorporate/ Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2021-04-17	https://www.fanabc.com/afaanoromoo/yuunvarsitiin-bulee-horaa-dhimma-fayyaarratti-qorannoo-idil-addunyaa-geggeessaa-jira/
Lakkoofsi haadholii ogeeyyii yaalaan deeggaramuun dahanii % 50 gaheera  Ministeera Fayyaa	  Lakkoofsi haadholii ogeeyyii yaalaan deeggaramuun dahanii % 50 gahuu Ministeerri Fayyaa beeksiise. Buhaa argameef gaheen deessistootaa olaanaa tahuu ibsameera. Yaahiin Waldaa Miidwaayifarootaa 29ffaan guyyoota lamaaf turu eegalameera. Yaahicharratti hojii raawwachiiftoonni Ministeera Fayyaa, dhaabbilee deeggartootaa fi waldichaa hirmaataa jiru. Lakkoofsi haadholii ogeeyyii yaalaan deeggaramuun dahanii dabalaa dhufuu Daayreektarri Fayyaa Haadholii fi Daahimmanii Dooktar Masarat Zalaalam ibsaniiru. Akka bara Faranjootaa 2016tti lakkoofsi haadholii deeggarsa ogeeyyii yaalan dahanii % 28 ture yeroo ammaa gara % 50tti ol guddachuu ibsan. Waggaa 30n lakkoofsi haadholii sababa dahumsaan duhanii kuma 30 ture yeroo ammaa gara kuma 11tti gadi buheera jedhan. Dhaabbileen fayyaa babalhaachaa dhufuun buhaa argameef sababa tahuus eeraniiru. Ityoophiyaatti Kiliinikoonni kumni 17 fi Hospitaaloonni 400 jiraachuu eeraniiru. Lakkoofsi Miidwaayifarootaa kuma 17 gahuu Preezdaantiin Waldaa Miidwaayifarootaa Zannabaa Akaaleen ibsaniiru. Yeroo ammaas giddugaleessaan haadholiin 30n guyyaan sababa dahumsaan lubbuun isaanii darbaa jiraachuu himaniiru. Fuula Feesbuukii keenyan dabalata odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii https://www.youtube.com/c/fanabroadcastingcorporate/ Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2021-03-20	https://www.fanabc.com/afaanoromoo/lakkoofsi-haadholii-ogeeyyii-yaalaan-deeggaramuun-dahanii-50-gaeera-ministeera-fayyaa/
Naannoo Tigraayitti talaalliin dhibee Gifiraa kennama jira	- Naannoo Tigraayitti talaalliin ittisa dhibee Gifiraa kennama jiraachuu Ministeerri Fayyaa beeksise.       Ministeerichatti Itti Gafatamaan Deeskii Talaallii Dubartoota fi Daahimmanii Malkaamuu Ayyaalawu Faanaa Biroodkastiingi Koorporeetiif akka ibsanitti, naannichaatti duula kenniinsa talaallii dhibee Gifiraaf talaallii gahaan ergamuu ibsaniiru.       Naannichatti talaalliin kun Bitootessa 18, 2015 irraa eegalee kennamaa jiraachuu eeruun, tajaajilii Talaallicha waltahiinsaa Dhaabbata Fayyaa Addunyaa fi ‘UNICEFhn kennamaa jiraachuun ibsameera.       Duulli talaallichaa guyyoota 12hf kan turuu fi daahimman kuma 831 oliin gahuuf karoorfamuun eerameera.       Sadarkaa biyyaalessaatti duulli kenniinsa talaallii dhibee Gifiraa Mudde 13-22, 2015htti kennamuun ni yadatamaa.       Malaakuu Gaddiftu gabaase.      #Oromiyaa #Ityoophiyaa       Odeeffannoowwan waqtaawaa dabalataan argachuuf;       Teelegiraama https://t.me/afanoromofana       Yuutiyuubii Afaan Oromo: https://bit.ly/3FjfCXR       Marsariitii fanabc.com/afaanoromoo       Tiwiitara https://twitter.com/fanatelevision nu duukaa buhaa       Feesbuukii:https://www.facebook.com/afaanoromoofana/       Yeroo maraa nu waliin waan taataniif isin galateeffanna.	fayyaa	2023-03-29	https://www.fanabc.com/afaanoromoo/naannoo-tigraayitti-talaalliin-dhibee-gifiraa-kennama-jira/
