headline	content	category	date	link
Abdurazaak Gurnah Noobeelii bara 2021 badhaafamaan	- Barreessaan biyya Taanzaaniyaa Abdurazaak Gurnah damee ogbarruutiin Noobeelii bara 2021 badhaafamuu ibsameera. Gurnahaan barreeffamasaa dhiibbaa sirni kolonummaa Ardii Afriikaatti fidee fi godaansi miidhaa inni geessiserratti barreeffama barreesseen badhaasa kana argataniiru.  Hayyuun kun asoosamoota 10 fi hololoowwan hedduu barreessaniiru. Proofeesar Abdurazaak Gurnah yuunvarsiitiiwwan biyya Ingiliiz Kentii fi Canterburyitti barsiisaa turaniiru jedhamaan. Madddi:- BBC      .	idil_addunyaa	2021-10-07	https://www.fanabc.com/afaanoromoo/abdurazaak-gurnah-noobeelii-bara-2021-badhaafamaan/
Taayilaanditti loltuun Mootummaa namoota nagaa 27 galaafate ajjeefame	  Taayilaanditti loltuun Mootummaa namoota nagaa 27 galaafate humna nageenyaan ajjeefameera. Loltuun namoota nagaa 27 ajjeese, wiirtuu daladalaa keessatti halkan guutuu hordofamuun humna nageenyaan ajjeefamuu poolisiin biyyattii beeksiseera.  Loltuun mootummaa Jaakraafaant Tooma Sanbata xiqqaa kaampii waraanaa keessatti ajajaa isaa ajjeesuun meeshaa waraanaa hatee magaalatti bahe. Loltuun kun daandiirratti nama arge hundatti dhukaasaa gara wiirtuu daldalaa naannoo Koraat jedhamuun beekamu tokkotti ol seenuun dhukaasa banuusa Poolisiin mirkaneesseera.  Namoonni Haleelichaan ajjeefaman 27 yoo tahan 51 irraa ammoo miidhaan qaama cimaan qaqqabuu Muummeen Ministiraa biyyattii Praayutiz Chaan-Ochaan himaniiru.  Maddi:-CGTN	idil_addunyaa	2020-02-09	https://www.fanabc.com/afaanoromoo/taayilaanditti-loltuun-mootummaa-namoota-nagaa-27-galaafate-ajjeefame/
Ugaandaa fi Sudaan Kibbaa daandiiwwan rakkoo nageenyaa qaban waloon eeguuf waliigalan	- Ugaandaa fi Sudaan Kibbaa daandiiwwan rakkoo nageenyaa qaban waloon eeguuf waliigalaniiru. Biyyoonni lamaan daandiiwwan rakkoo nageenyaa qaban Kaaniimuul hanga Juubaa jiru waloon eeguuf waliigalaniiru. Biyyoonni lameen waliigaltichaa kan raawwataan konkolaattoota jajjaaboorra karaa hin beekamneen hidhattoonni haleellaa erga qaqqabsiisanii boodadha. Waliigaltichis kiloo meetira 10 irratti sakattoo taasisuun akka keessaatti haammatamuu itti aanaa Muummee Ministiraa Ugaandaa Reebeekaa Kaadaagaan himaniru. Torbee darbee konkolaattoonni fehumsaa jajjaaboon cehumsaa Afrikaa lixaa rakkoo nageenyaan walqabsiisee haleelamuu fi konkolaattoonni jajjaboon fehumsaa kumni 1 ol daandii olaanaarra dhaabbachuun isaanii ibsameera. Bara kana yoo xiqqaatee daldaltoonnii fi konkaalchistoonni 30 tahaan lubbuun isaanii dhabaniiru. Maddi:-BBC      .	idil_addunyaa	2021-08-30	https://www.fanabc.com/afaanoromoo/ugaandaa-fi-sudaan-kibbaa-daandiiwwan-rakkoo-nageenyaa-qaban-waloon-eeguuf-waliigalan/
Kinshaasaatti Rooba cimaa Roobeen lubbuun namoota 120 olii darbe	  Magaalaa Guddittii Riipaablika Diimookiraatawaa Koongoo Kinshaasaatti Rooba cimaa Roobeen lubbuun namoota 120 olii darbuu ibsameera. Rooba cimaa Roobe hordofee sigiga lafaa muudateen lubbuun namoota 120 darbuu fi namoonni hedduun madaahuu eerameera. Balichaan gandoonni magaalichaa 24 miidhamuu ibsameera. Manneen jireenyaa, daandiwwan dabalatee qabeenyi hedduun barbadaahuu eerameera. Yaahii Hoggantoota Afrikaa  Ameerikaarratti hirmaachaa kan jiran Pireezidaantiin biyyattii Feeliiksii Sheesiikiidiin miidhaa qaqqabeef gadda isaanii ibsaniiru. Maddi:-Reuters Odeeffannoowwan waqtaawaa dabalataa argachuuf;    nu duukaa buhaa  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	idil_addunyaa	2022-12-14	https://www.fanabc.com/afaanoromoo/kinshaasaatti-rooba-cimaa-roobeen-lubbuun-namoota-120-olii-darbe/
				
Addunyaarratti lakkoofsi namoota vaayrasii koroonaan qabamani miiliyoona 4 darbe	  Addunyaarratti lakkoofsi namoota vaayrasii koroonaan qabamani miiliyoonaa 4 darbe. Addunyaarratti namoonni vaayrasii koroonaan qabaman miiliyoona 4 darbuusa ragaan Yuunivaarsitii Joons Hoopkinsirra argame ni muulhisa. Kahumsa isaa Chaayinaatti bulchiinsa Wuuhan kan taasisee weerarichi dhaabbanni fayyaa adduunyaa erga gabasee baatii 4 keessatti vaayrasichi namoota miiliyoona 4 tahan irratti argameera. Vaayrasichaan adduunyaarrattis namoonni lubbuun darbe kuma dhibba 2 fi kuma 77 ol taheera. kanneen keessaa Ameerikaatti namoonni miiliyoona 1 fi kuma dhibba 3 ol tahan  vaayrasichaan qabamaniiru. Yaatahu malee ogeeyyoonni fayyaa akka himanitti, biyyoota tokko tokkoo keessaatti lakkoofsi namoota qoratamanii gadi aanaa tahuus lakkoofsi namoota vaayrasichaan qabamani kanarraa ni caalaa jedhaniiru. Maddi:- BBC  	idil_addunyaa	2020-05-10	https://www.fanabc.com/afaanoromoo/addunyaarratti-lakkoofsi-namoota-vaayrasii-koroonaan-qabamani-miiliyoona-4-darbe/
Raashiyaan murtoo Gamtaan Awuuroppaa gatii  bobahaarratti baase hin fudhadhu jette	-  Raashiyaan murtoo Gamtaan Awuuroppaa gatii bobahaarratti baase kan hin fudhanne tahuu beeksifte. Minseensonni Gamtaa  Awuroppaa Raashiyaan oomisha bobahaa baarmeelaa tokko Doolaara 60tti akka gurgurtuuf waliigalteerra gahuu ifoomsaniiru. Haala waliigaltichaatiin biyyoonni miseensa Gamtaa Awuroppaa gatii kana oliin akka hin bitne qoqqobiin kaahameera. Bifuma walfakkaatuun miseensonni biyyoota Garee 7 fi Awustiraaliyaas gatii kaahameen alaa kan hin bitne  tahuu beeksisaniiru. Ittaanaan Ministira Muummee Raashiyaa Aleeksaandar Novaak ibsa kennaniin,  Raashiyaan murtoo Gamtaan Awurooppaas tahee biyyoota Garee 7 dabarsan kan hin fudhaanne tahuu  ibsaniiru. Gamtichi fooyyahiinsa gatii baaseen Moskoorraatti rakkoo akka hin uumneef furmaata barbaaduuf hojjechaa jiraachuu RTn gabaaseera. Murtoon gamtichaa seera gabaa Addunyaa kan cabsee tahuu Aleeksaandar Novaak eeraniiru. Odeeffannoowwan waqtaawaa dabalataa argachuuf;    nu duukaa buhaa  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	idil_addunyaa	2022-12-05	https://www.fanabc.com/afaanoromoo/raashiyaan-murtoo-gamtaan-awuuroppaa-gatii-bobaaarratti-baase-hin-fudhadhu-jette/
Faransaay Maalii dabalatee biyyoota Lixa Afrikaa qoqqooduuf yaalaa jirti- MM Maalii	  Faransaay Maalii dabalatee biyyoota Lixa Afrikaa qoqqooduuf yaalaa jiraachuu Muummeen Ministiraa  Maalii Chuuguuheel Maayigaan ibsan. Muummeen Ministirichaa Faransaay loltootashaa ergama addaaf bobbahanitti gargaaramuun biyyoota lixa Afrikaa qoqqooduuf yaalaa jirti jechuun komataniiru. Muummeen Ministiraa Maalii Chuuguuheel Maayigaan ibsa dippiloomaatotaaf laataniin, waraana hidhattoota waliin gaggeffameen loltoota Faransaay lubbuun isaanii darbeef kabaja guddaa kan qaban tahuu kaasaniiru. Faransaay ergama Maalii deggaruu jedhuun garee shororkeessaa deeggaraa jiraachuu Chuuguuheel Maayigaan ibsaniiru. Faransaay Maalii deeggaraa kan jirtu osoo hin taane biyyattii bakka lamatti qooduuf hojjechaa jiraachuu eeraniiru. Gareewwan shororkeessitootaa dadhabanii jiran irra deebiin akka gurmaahanii fi humna godhataniif waggoota lamaaf Faransaay deeggarsa taasisaa turte jechuun komataniiru. Bara 2013 A.L. Atti wayita Faransaay dhimma keessoo Maalii keessa seenuu eegaltetti waraanni Faransaay gareewwan shororkeessitootaa leenjisuunii fi garee adda bilisa baasaa Tuuwaareeg deeggara jechuun himata dhiyeessanii turuu Muummeen Ministiraa Maalii Chuuguuheel Maayigaan yaadachiisaniiru. Haa tahu malee Imbaasiin Faransaay Maalii Baamaakootti argamus tahe mootummaan Faransaay dhimmicharratti deebii kan hin laanne tahuu himaniiru. Duulli waraana Farnsaay Sarvaal jedhamuun beekamu kaaba Maalii hidhattoota  Finxaaleeyyiirraa debisuuf deggarsa taasisaa turuu Afrikaan Niwus gabaasa isaan yaadachiiseera. Ityoophiyaa :-  Haa Misoomsinu,  Haa Ijaarru, Haa qophoofnu!!!     .	idil_addunyaa	2022-02-09	https://www.fanabc.com/afaanoromoo/faransaay-maalii-dabalatee-biyyoota-lixa-afrikaa-qoqqooduuf-yaalaa-jirti-mm-maalii/
Hawaasni wayita ayyaana Faasikaa fi Idaal Faxir kabaju balaa tasaarraa of eeggannoo taasisuu qaba-Komishinar Araarsaa	  Komishinarri Jeneraalaa Poolisii Oromiyaa Araarsaa Mardaasaan hawaasni wayita ayyaana Faasikaa fi Idaal Faxir kabaju balaa tasaarraa of eeggannoo taasisuu qaba jedhan. Komishinarri Araarsaan ayyaana Faasikaa fi Idaal Faxir sababeeffachuu ergaa dabarsaniiru guutuu ergichaa akka armaan gadiitti dhiyaateera:- Baga Ayyaana Faasikaa Amantaa kiristaanaa fi Ayyaana Amantaa Musliimaa Idal Faxir ramaadaan Waggaa 1443tin nagaan isin gahe. Komishinarri Jeneraalaa  Poolisii Oromiyaa Araarsaa Mardaasaa ergaa dabarsaniin hordoftoota amantaa kiristaanaa fi Musliimaa tsoomarra turaniin baga tsooma hiika geessan jechuun ergaa dabarsanii ayyaanni tsooma hiika ayyaana gaarii akka tahuuf sabaaf sablammoota naannoo keenya keessatti argaman hundaan baga geessan jedhaniiru.Ayyaana kanaan wal qabatee                  1ffaa,Konkolaachistoota kallattii kamirraa konkolaachisaniin of eegannoo  naamusa konkolaachiisummaa  dhabuu,dhugaanii oofuu,ariitii barbaachisaa oliin  hoofu,waliif waliif dursa kennuu dhabuu akkasumas lafa deemtotaaf dursa kennuu dhabuun balaa qisaasahuu lubbuu fi balaa qabeenyaa akka fidu beekamee of eggannoon barbaachisaan akka godhamu ergaa dabrsaniiru. 2ffaa,Tohattoonni tiraafiikaas  jala  bultii ayyaanichaa ilaalchisee Tohannoo cimsuun konkolaachisaa dhugee konkolaachisuu fi seera darbitoota toohachuun tarkaanfii barbaachisaa tahe fudhachaa hojii olaantummaa seera kabachiisuu cimanii hojjechuun balaa gahu akka ittisan qajeelfama hojii dabarsaniiru. 3ffaa,Balaa tasaa yeroo ayyaanaa dhaqqaban  keessaa balaan ibiddaa  mana keessaa kahu tokko waan taheef balaan kun akka gahee gaagahama qabeenyaa hin geessifneef hawaasni of eeggannoo barbaachisaa tahe akka taasisu ergaa qaban dhaamaniiru. 4ffaa,Guyyaa jala bultii Ayyaanaa kana hawaasni naannoo keenyaa of eeggannoo cimaadhan gabaa isaanii godhachuu akka qabaniifi kiisii isaanitif of eeggannoo barbaachisaa tahe gochuu akka qabuu fi hawaasni yeroo fuulli haarahan isa qunnamu hatattamaan qaamolee nageenyaa dhiyeenyatti argamutti eeruu kennuu akka qabus dhaamaniiru. 5ffaa,Qaalahiinsa gabaa irratti waltahiinsa qaamolee nageenyaa fi waajjira daldalaa waliin tahun qindoominaan hojjechuun daldaltoota seeran alaa daballi gabaa taasisan irratti tarkaanfiin seera qabeessa tahe akka irratti fudhatamuu fi hojiin gabaa tasgabeessuu cimee akka hojjetamu ergaa isaanii dabarsanii jiru. 6ffaa, Qophii Ayyaanaa kanaan  walqabsiisee  Diinni Uummata Oromoo shanee iddoowwan adda addaatti Ayyaanichi akka nagaadhaan hin kabajamne rakkoo nagaa booressuu akka hin raawwanneef qaamoleen nageenyaa bakka jiru hundatti qophahaa tahee hojii nagaa kabachiisuu fi ayyaanni ummataa gurguddaan yeroo kabajamu qaamni nageenyaa boqonnaa tokko malee eegumsa cimsuun hawaasni nagaan akka ayyaana isaa ayyaaneffatuu fi diina nagaa uummata booressu cimee akka qolatu qajeelfama hojii dabarsaniiru.Itti Dabaluun Komishinar Araarsaa Mardaasaa yaada ibsaniin waltahiinsa qaamolee nageenyatin hojiin duula Shororkeessaa ABO shanee qulqulleessuu cimee kan itti fufe waan taheef nageenyi kan namaa kamiyyuu waan taheef hawaasni balhaan naannoo keenya keessatti argamu hundi qaamolee nageenyaa tumsuun qaamolee nageenya cinaa akka hiriiru ergaa isaanii dabarsanii irra deebihuudhan sabaaf sablammoota naannoo keenya keessatti argaman hundaa baga ayyaana faasikaa fi ayyaana musliimaa bara 2014 Idalfaxir waggaa 1443tin isin gahe jedhaniiru.      .	idil_addunyaa	2022-04-21	https://www.fanabc.com/afaanoromoo/hawaasni-wayita-ayyaana-faasikaa-fi-idaal-faxir-kabaju-balaa-tasaarraa-of-eeggannoo-taasisuu-qaba-komishinar-araarsaa/
Ameerikaafi Kooriyaan Kibbaa shaakala loltummaa waloo eegalan	  Ameerikaafi Kooriyaan Kibbaa shaakala loltummaa waloo guddaa tahe eegaluu gabaafame. Biyyoonni lameen shaakala loltummaa kana kan eegalan Kooriyaan Kaabaa biyyoota michoota ishee tahan waliin yaalii meshaa waraanaaf wayita qophii cimaa taasisaa jirtutti tahuu gabaafameera. Kooriyaan Kibbaa weerara vaayirasii Koroonaan booda yeroo jalqabaaf shaakala loltummaa fi siiviilii guyyaa kaleessaa eegalteetti. Shaakalli loltummaafi siiviilii kun haleellaawwan warshaaleefi cancala dhiyeesirratti aggaamamuu malu qolachuuf qophaahummaa biyyattiin qabdu guddisuuf kaayyeffachuu Rooyitars gabaaseera. Ameerikaafi Kooriyaan Kibbaa shaakallii taasisuuf leenjii sadarkaa jalqabaa erga eegalanii booda Kooriyaan Kaabaa turban darbe Kiruuz Miisaahelii lama furguggisuun ishee gabaafameera. Kooriyaan Kaabaa bara kana irra deddeebiin yaaliiwwan miisaahelii kan taasiste yoo tahu, yaalii niwukilaraa 7ffaa yeroo kamiyyuu taasisuuf qophii tahuu angahoonni Seehul dubbataniiru. Kooriyaan Kibbaa haleellaa miisaahelii Kooriyaa Kaabaarraa isheetti aggaamamuuf yaaddoowwan haleellaa adda baasuurraa eegalee gahumsa loltummaa ishee guddisuuf xiyyeeffannoon kan hojjettu tahuu eerameera. Ameerikaa, Kooriyaan Kibbaafi Jaappaan dhiyeenyatti qarqala galaanaa Hawaayitti shaakala ittisa Baalaastik misaahelii taasisuun isaanii kan yaadatamudha. Odeeffannoowwan waqtaawaa dabalataa argachuuf;    nu duukaa buhaa  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	idil_addunyaa	2022-08-22	https://www.fanabc.com/afaanoromoo/ameerikaafi-kooriyaan-kibbaa-shaakala-loltummaa-waloo-eegalan/
