headline	content	category	date	link
Waancaan Addunyaa agarsiisaaf Ityoophiyaa dhufuufi	  Waancaan Kubbaa miilaa Addunyaa agarsiisaaf Ityoophiyaa dhufuufi jedhameera. Waancichi Ityoophiyaa walakkaa baatii Caamsaa  akka dhufu beekkameera. Waancaan Addunyaa kun agarsiisaaf kan dhiyaatu biyyoota Afrikaa keessaa Ityoophiyaan ishee duraati. Waancaa kana waliin taphataan sarara fuulduraa garee biyyoolessaa Faransaay duraanii Deeviid Tirzigeet  akka dhufuus beekkameera. Fuula Feesbuukii keenyaan odeeffannoo waqtaawaa dabalataa argachuuf;    .	ispoortii	2022-05-04	https://www.fanabc.com/afaanoromoo/waancaan-addunyaa-agarsiisaaf-ityoophiyaa-dhufuufi/
Atileet Gudaaf Tsaggaay riikaardii addunyaa meetira 1500 qabamee ture cabsite	 Atileet Gudaaf Tsaggaay Faransaay Leeviinitti kan gaggeeffame, waldorgoommi fiigichaa mana keessaa meetira 1500 riikaardii addunyaa qabamee ture cabsite.      Atileet Gudaaf bara Faranjootaa 2014 atileet Ganzabee Dibaabaan galmaahee kan ture sekaandii 2 fooyyeessuun fageenya 3:53.09 xumuruu dandeesseetti.    Atileet Lamlam Hayluu waldorgommii shaampiyoonaa mana keessaa Faransaay meetira 3000 fageenya 8:32.55n xumuruun yoo injifattu, atileet Habtaam Alamuu ammoo meetra 800 fageenya 2:00.86n xumuruun 2ffaan xumurteetti.    Waldorgommii mana keessaa kanaan, atileettonni Ityoophiyaa 1-4ffaa bahuu dandahaniiru.  Buhuuruma kanaan, atileet Geetinnat Waalaa 1ffaa, Solomon Baaraggaa 2ffaa, Lammeechaa Girmaa 3ffaa, Barihuu Aragaawwii 4ffaa, Taaddasaa Warquu 6ffaa bahuun xumureera.              Karaa yuutyuubii keenyan nu hordofuuf fbc afaan oromoo https://www.youtube.com/c/fanabroadcastingcorporate/     Karaa marsariitii (weebsaayitii) keenya fanabc.com/afaanoromoo nu hordofaaa.   Twiitara keenya https://twitter.com/fanatelevision nu duukaa buhaa   Yeroo maraa nu waliin waan taataniif isin galateeffanna!	ispoortii	2021-02-10	https://www.fanabc.com/afaanoromoo/atileet-gudaaf-tsaggaay-riikaardii-addunyaa-meetira-1500-qabamee-ture-cabsite/
Gareen Kubbaa Miilaa dubartootaa Biyyaaleessa Ityoophiyaa umrii 17 gadii gulaallii waancaa addunyaa marsaa itti aanuuf darbe	  Gareen Kubbaa Miilaa dubartootaa Biyyaaleessa Ityoophiyaa umrii 17 gadii gulaallii Waancaa Addunyaaf tapha deebii gaggeesseen gita isaa Ugaandaa waliin goolii 1 qixa xumurus marsaa itti aanuuf darbeera. Tapha deebii sahaatii 10:00 irraa eegalee Istaadiyeemii Abbabaa Biqilaatti taphatame goolii 1 qixa xumurameera. Gareen guddattootaa Ityoophiyaa dirree ala goolii 2 galchuu isaan marsaa itti aanuuf darbeera. Taphni marsaa jalqabaa Ugaandaatti gaggeeffame goolii 2 qixa xumuramuun kan yaadatamuudha. Gareen Biyyaalessa Ityoophiyaa yeroo itti aanu tapha gulaallii kana gita isaa Afrikaa Kibbaa waliin ni taphata.      .	ispoortii	2022-03-20	https://www.fanabc.com/afaanoromoo/gareen-kubbaa-miilaa-dubartootaa-biyyaaleessa-ityoophiyaa-umrii-17-gadii-gulaallii-waancaa-addunyaa-marsaa-itti-aanuuf-darbe/
Kiristaanoo Roonaaldoon seenaa haaraa galmeesse	  Taphataan sarara fulduraa Lammiin Poorchugaal Kiristaanoo Roonaaldoon kaleessa galgala goolii 2 galchuun biyyisaa akka injifattuuf seenaa haaraa galmeesseera.    Roonaaldoon biyya isaaf goolii 111 galchuun taphataa goolii hedduu galche taheera.    Roonaaldoon rikoordii goolii 109hn lammii Iraan Ali Daye qabamee ture qooddachuun isaa kan yaadatamuudha.   Kaleessa galgala goolii 2 galchuun Rikoordiii goolii hedduu galchuu harkatti galfateera.    Kiristaanoo Roonaaldoon Kilaba isaa durii Maanchiisteer Yuunaayitiiditti deebihuun isaa kan yaadatamuudha.    Maddi:-BBC    Feesbuuki keenyan dabalata odeeffannoo waqtaawaa argachuuf;              nu duukaa buhaa    Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2021-09-02	https://www.fanabc.com/afaanoromoo/kiristaanoo-roonaaldoon-seenaa-haaraa-galmeesse/
Atileet Siifaan Hasan riikardii addunyaa meetira kuma 10 cabsite	- Dhalattuu Ityoophiyaa lammummaan Hoolaand kan taatee Atileet Siifan Hasan riikardii addunyaa meetira kuma 10 cabsiteetti.    Riikardii meetira kuma 10 atileet Almaaz Ayyanaatiin waggoota 5f qabame turee atileetittiin kan cabsiteetti.    Nizeerlandiif kan fiigduu atileetittiin dorgommicha daqiiqaa 29 fi sekoondii 17 fi maayikroo 45 irratti seenuun injifatteetti.          Yuutyuubiihttps://www.youtube.com/c/fanabroadcastingcorporate/       nu duukaa buhaa   Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2021-06-06	https://www.fanabc.com/afaanoromoo/atileet-siifaan-hasan-riikardii-addunyaa-meetira-kuma-10-cabsite/
Naannoo Harariitti fiigichi daandirraa gaggeeffame	  Naannoo Harariitti “Nageenyaaf nan fiiga” mataa duree jedhuun fiigichii daandirraa gaggeefameera. Figicha kana dhaabbanni miti mootummaa ‘Eastern development initiativeh jedhamu naannoo Hararii waliin tahuun kan qopheessan yoo tahuu, figicha atleetoota dargaggootaa gidduutti gaggeeffameen dubartootan Salaam Fallaqee 1ffaa, dhiiraan ammoo Atleet Abdulaziiz Abbaas1ffaa bahuun xumuraniiru. Yaasiin Shamsuddinitu gabaase.  Odeeffannoowwan waqtaawaa dabalataan argachuuf;     nu duukaa buhaa Feesbuukii:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2023-05-14	https://www.fanabc.com/afaanoromoo/naannoo-harariitti-fiigichi-daandirraa-gaggeeffame/
Tapha Waancaa Addunyaa harhaan taphoonni 4 ni gaggeeffamu	  Tapha Waancaa Addunyaa harhaan taphoonni 4 ni taphatamu. Harha galgala sahaatii 12:00 irratti ramaddii 4ffaarraa Tuuniiziyaan Faransaay waliin Awustaraaliyaan ammoo Deenimaark waliin ni taphatu. Bifuma walfakkaatuun galgala Sahaatii 4:00 irraa jalqabee Saahud Arabiyaan Meeksiikoo waliin Poolaand ammoo Arjentiinaa waliin walfalmatu. Odeeffannoowwan waqtaawaa dabalataa argachuuf;     nu duukaa buhaa  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2022-11-30	https://www.fanabc.com/afaanoromoo/tapha-waancaa-addunyaa-haraan-taphoonni-4-ni-gaggeeffamu/
Garee Atileetiksii Ityoophiyaa injifannoo boonsaa galmeessanii galan daandiirratti simannaan taasifamaafii jira	  Dorgommii Shampiyoonaa Atileetiksii Addunyaarratti garee Atileetota Ityoophiyaa injifannoo boonsaa galmeessan daandiirratti simannaan taasifamaafii jira. Gareen kun eda Finfinnee galuun isaanii ni yaadatama. Guyyaa harhaas Goototaa Atileetotaa Ityoophiyaa fi miseensotaa garechaa biroo addabaabayii Finfinnee garaagaraatti hawaasaan ni simatamu jedhameera. Yeroo ammaa hoteela qubatee jirurraa daandiiwwan ijoo magaalattiirra imaluun hawaasaan simannaan taasifamaafi jira. Odeeffannoowwan waqtaawaa dabalataa argachuuf;    nu duukaa buhaa  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2022-07-28	https://www.fanabc.com/afaanoromoo/garee-atileetiksii-ityoophiyaa-injifannoo-boonsaa-galmeessanii-galan-daandiirratti-simannaan-taasifamaafii-jira/
Shaampiyoonaan Ispoortii Aadaa Oromiyaa magaalaa Walisootti torbee lamaaf gaggeeffamaa ture xumurame	- Shaampiyoonaan Ispoortii Aadaa Oromiyaa magaalaa Walisootti torbee lamaaf gaggeeffamaa ture guyyaa harhaa xumurameera. Shaampiiyoonaan Wal dorgommii Ispoortii Aadaa Oromiyaa marsaa 28ffaa feestivaala  agarsiisa aadaa 13ffaa Godina Shawaa Kibba Lixaa fi Bulchiinsa magaalaa Waliisootti qophaahe guyyoota 14hf godinaalee Oromiyaa garaagaraa wal dorgomsiisaa  ture guyyaa harhaa goolabameera. Dorgommii Ispoortii aadaa waliigalaan godina shawaa lixaa, agarsiisa feestivaala aadaan godina Arsii lixaa, agarsiisa baniinsaan godinni Shawaa kibba lixaa shaampiyoonaa tahuun waancaa fudhataniiru.   Sirna cufiinsaa shaampiyoonaa Ispoortii Aadaa Oromiyaa magaalaa Wolisootti gaggeeffamaa tureen hoggontoonni Olaanoon kan argaman yoo tahu naannoo Oromiyaa bakka buhuun Ispoortessitoonni hedduunis calalamaniiru. Kaayyoon dorgiomichaas Ispoortiin aadaa buhuura Ispoortii ammayyaa akka tahe agarsiisuuf, akkasumas muuxannoo aadaalee godinaalee Oromiyaa wal jijjiiruuf tahuu ibsameera. Tasfaayee Ijjiguutu gabaase. Odeeffannoowwan waqtaawaa dabalataa argachuuf;    nu duukaa buhaa  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2023-01-22	https://www.fanabc.com/afaanoromoo/shaampiyoonaan-ispoortii-aadaa-oromiyaa-magaalaa-walisootti-torbee-lamaaf-gaggeeffamaa-ture-xumurame/
Gareen kubbaa miilaa Mana Barumsaa Sadarkaa 2ffaa Awwaaroo Amboo Ityoophiyaa bakka buhuun dorgommii Pan-Afrikaarratti ni hirmaata	  Gareen Kubbaa miilaa Mana Barumsaa Sadarkaa 2ffaa Awwaaroo Amboo Ityoophiyaa bakka buhuun dorgommii Pan-Afrikaarratti kan hirmaatu tahuu ibsameera.    Waldorgommii kubbaa miilaa Paan Afrikaa Rippaablika Diimokiraatawaa Koongootti gaggeeffamurratti Kubbaa Miilaan Manni Barumsaa Awwaroo Amboo sadarkaa 2ffaa Ityoophiyaa bakka buhuudhaan kan hirmaatu tahuun himameera.    Wal dorgommii kanarraatti hirmaachuufis garichi Guyyaa boruu gara Koongoo Kinshaasatti akka imalu ibsameera.    Sirni gaggeessaa garichaarratti argamuun haasawa kan taasisan hoggantuun Biiroo Dargaggoo fi Ispoortii Oromiyaa Saamiyaa Abdallaa manni barumsaa naannoo Oromiyaa carraa kana argachuun waan guddaa tahuu eeruun, bakka deemanitti morkii gaggeessuun qabxii gaarii galmeessuun cinaatti naamusa gaarii agarsisuun aadaa naannoof biyyaa muulhisu akka qaban himaniru.    Itti gaafatamaan Waajjira Federeshinii kubbaa miilaa Oromiyaa obbo Firoomsaa Laggaasaa manni barnootaa naannoo Oromiyaa carraa kana argachuun fooyyahiinsa kubbaa miilaa Oromiyaarratti jiraachuu kan muulhisuudha jedhan.    Garichi carraa argameetti fayyaadamuun qabxii gaarii galmeessee deebihuun maqaa gaarii naannoo fi biyyaa waamsisuu akka qabu abdii qabaachuu ibsaniiru.    Dejanuu Gonfaatu gabaase.                      nu duukaa buhaa    Yeroo maraa nu waliin waan taataniif isin galateeffanna.	ispoortii	2022-02-16	https://www.fanabc.com/afaanoromoo/gareen-kubbaa-miilaa-mana-barumsaa-sadarkaa-2ffaa-awwaaroo-amboo-ityoophiyaa-bakka-buuun-dorgommii-pan-afrikaarratti-ni-hirmaata/
