headline	content	category	date	link
Hoomaa simbira girrisaa tohachuuf guyyoota sadan dhufan biiffaan Keemikaalaa xiyyaaran ni eegalama Ministeera Qonnaa	 Naannoo Oromiyaa fi Amaaraatti Hoomaa simbira girrisaa tohachuuf guyyoota sadan dhufan biiffaan Keemikaalaa xiyyaaran kan eegalamu tahuu Ministeerri Qonnaa beeksise. Naannolee kanneenitti iddoolee hoomaan Simbira girrisaa mudatetti biiffaan keemikaala kan eegalamu tahuu ministeerichatti dursaan garee eeggumsa Biqiltuu Obbo Laayinahi Niguseen Faanaa Biroodkaastiing Korporeetiif himaniiru. Hojiin qophii duraa fi dhiyeessiin keemikaalaa xumuramuu kaasaniiru. Iddoolee hunda xiyyaaraan waliin gahuun waan hin dandamneef Qonnaan Bulaan mala Aadaan hojii ittisuu akka hojjetu gaafataniiru. Tibbana Hoomaa Simbira girrisaa miiliyoona 5 Harargee Bahaatti mudate tohachuun dandahamuu eeraniiru. Afawarq Iyyaayuutu gabaase.   	oduu_biyya_keessaa	2023-09-22	https://www.fanabc.com/afaanoromoo/hoomaa-simbira-girrisaa-toachuuf-guyyoota-sadan-dhufan-biiffaan-keemikaalaa-xiyyaaran-ni-eegalama-ministeera-qonnaa/
Ijaarsa wiirtuu kalaqa teeknooloojii raawwachuuf waliigalteen mallattaahe	 Tajaajilli humna Elektirikaa Ityoophiyaa fi Koorporeeshiniin Siivil Injinariingii Chaayinaa wiirtuu gahumsa teeknooloojii ijaaruuf sanada waliigaltee mallatteessaniiru. Ijaarsi isaa mooraa dhaabbatichaa Kotabeetti argamu keessatti kan raawwatu yoo tahuu, Birrii biiliyoona 9 fi miiliyoona 341 fi kuma 596 oliin ijaarama jedhame. Hojii Raawwachiisaa Olaanaan Tajaajila Elektirikaa Itiyoophiyaa Obbo Shifarraawu Taliilaa fi Daayrektarri Koorporeeshiniin Siivil Injinariingii Chaayinaa damee Itiyoophiyaa Wuu Juuyi waliigalticha mallateessuu ragaan Tajaajila Elektirikaa Itiyoophiyaarraa argame ni mulhisa.   	oduu_biyya_keessaa	2023-09-29	https://www.fanabc.com/afaanoromoo/ijaarsa-wiirtuu-kalaqa-teeknooloojii-raawwachuuf-waliigalteen-mallattaae/
Dooktar Abiy Ahimad Buufata Doonii Yaangishaan daawwatan	Ministirri Muummee FDRI Dooktar Abiy Ahimad Chaayinaatti Buufata Doonii Yaangishaan Shaangaayitti argamu daawwataniiru. Ministirri Muummee Dooktar Abiy Ahimad Chaayinaatti daawwannaa hojii taasisaa jiraachuun ni beekama. Turtii isaaniin Shaangaayitti Buufata Doonii Yaangishaan daawwataniiru. Kana malees Giddugala Gabaa Istookii fi Huuwaawee daawwachuun ni yaadatama. #Oromiyaa #Itiyoophiyaa Odeeffannoowwan waqtaawaa dabalataa argachuuf;     nu duukaa buhaa Feesbuukii:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	oduu_biyya_keessaa	2023-10-19	https://www.fanabc.com/afaanoromoo/dooktar-abiy-ahimad-buufata-doonii-yaangishaan-daawwatan/
Finfinneetti sirreeffamni Taarifa Geejjiba Tajaajila ummataa taasifame	 Finfinneetti sirreeffamni Taarifa Geejjiba Tajaajila ummataa taasifamuu Biiroon Geejjibaa Magaalaa Finfinnee beeksiise. Sirreeffamni kun boru Onkololeessa 20, 2016 eegalee hojiirra kan oolu tahuu ibseera. Konkolaattoonni tajaajila Geejjibaa kennaan hundi taarifa haaraa bahe kana qofaan tajaajila kennuu akka qaban hubachiiseera. n  	oduu_biyya_keessaa	2023-10-30	https://www.fanabc.com/afaanoromoo/finfinneetti-sirreeffamni-taarifa-geejjiba-tajaajila-ummataa-taasifame/
Sagantaan Badhaasaa fi Maaddii qooduu sirreeffamtootaa amalaaf Mana Kitaabaa Abrihootiitti gaggeeffame	 Manni Kitaabaa Abrihoot Mana Amala Sirreessaa Qaallittii waliin tahuun sagantaa Badhaasaa fi Maaddii qooduu sirreeffamtootaa amalaaf taasiisaniiru. Sirreeffamtoonni Amalaa beekkumsa isaanii akka gabbifatanii fi namuusa gaarii akka horatan yaaddamee sagantaa qophaahe tahuu eerameera. Sirreeffamtoonni amalaa turtii isaanii mana amala sirreessatti taasiisan aadaa dubbisaa gabbifachuun kufaatii hamileerraa akka dandamatan, namuusa gaarii akka horatanii fi hubannoo gaarii qabatanii akka bahaniif yaadamee tahuu Daayrektarri Mana Kitaabaa Abrihoot Injinar Wubaayyehu Maammoon ibsaniiru. Hogganaan Damee Sirreeffama Amalaa fi Haaromsaa Misooma Mana Sirreessaa Qaallittii Itti Aanaan Komishinara Jeneraal Dassitaa Asmallaash Badhaasaa fi sagantaa Maaddii qooduu Manni Kitaabaa Abrihoot sirreeffamtoota amalaaf taasiise galateeffachuu ragaan Mana Kitaabaa Abrihootirraa argame ni mulhisa. n  	oduu_biyya_keessaa	2023-11-01	https://www.fanabc.com/afaanoromoo/sagantaan-badhaasaa-fi-maaddii-qooduu-sirreeffamtootaa-amalaaf-mana-kitaabaa-abrihootiitti-gaggeeffame/
Dhaabbanni Geejjiba Galaanaa fi Loojistiksiii hojiilee tola ooltummaa Birrii miiliyoon 132 ifoomse	Dhaabbanni Geejjiba Galaanaa fi Loojistiksiii hojiilee tola ooltummaa Gannaa Birrii miiliyoona 132 ramaduun hojii eegaluu ibse. Dhaabbatichi bara kana kutaalee biyyaatti garaagaraa keessatti biqiltuuwwan faayidaa diinagde garagaraa qaban Kuma 30 ol dhaabuuf karoorfatee hojjecha ajiraachuu ibseera. Dabalataanis lammiilee harka qalheeyyiif mana ijaaruu dabalatee oolmaa daahimmaniis Magaalaa Dirree Dhawaatti Ijaaruuf sochii taasisaa jiraachuu Itti Aanaan Hojii Raawwachiisaa Dhaabbata Geejiba Galaanaa fi Loojistikii Itoophiyaa Obbo Mirataab Takiluu dubbataniiru. Guyyaa harhaas Buufata Terminaalaa Dirree Dhawaatti biqiltuu dhaabuu fi Ijaarsa Oolmaa Daahimmanii Mana Barumsaa Gadaansaar Sadarkaa 1ffaa keessa dhagaa buhuuraa kaahameera. Itti Gaafatamtuun Biiroo Barnootaa Bulchiinsa Dirree Dhawaa Aadde Muluukaa Mahaammed, dhaabbatichi, dhaloota barsiisuun hojii ijaarsa biyyaa adda duree tahuu ibsaniiru. Hinkoosaa Abdiisaatu gabaase.  Odeeffannoowwan waqtaawaa dabalataan argachuuf;     nu duukaa buhaa Feesbuukii:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	oduu_biyya_keessaa	2023-07-15	https://www.fanabc.com/afaanoromoo/dhaabbanni-geejjiba-galaanaa-fi-loojistiksiii-hojiilee-tola-ooltummaa-birrii-miiliyoon-132-ifoomse/
Indaastiriin Maanufaakchariingii toora xiyyeeffannoo shanan Mootummaan Naannoo Oromiyaa qabu keessaa isa tokkoo Pir.Shimallis	 Indaastiriin Maanufaakchariingii toora xiyyeeffannoo shanan Mootummaan Naannoo Oromiyaa qabu keessaa isa tokko tahuu Pireezidaantiin naannichaa Obbo Shimallis Abdiisan. Imaammanni Indaastirii Maanufaakchariingii naannoo Oromiyaa karoora tiraansfoormeeshinii waggaa kudhanii biyyaalessaafi naannichaa waliin walsimee kan qophaaheedha jedhan. Guutuun ergaa isaanii haala armaan gadiin dhiyaateera. Karoorri misooma industirii maanufaakchariingii Mootummaa Naannoo Oromiyaa kaayyoolee shan (5) milkeessuu akeeka; isaanis: haala daldala Naannoo Oromiyaa fooyyessuun hundeeffama industirii haaraa mijeessuu; oomisha waliigalaa biyya keessaa keessatti, qooda seektara industirii waliigalaafi industirii maanufaakchariingii dabaluu; oomishtummaa industiriiwwan naannoo keenyatti argamanii dabalu; oomisha waliigala biyya keessaa (GDP) irratti, galii guyyaa fooyyeessuufi carraa hojii seektarichi uumuu dandahu duguuganii fayyadamuudha. Mootummaan Naannoo Oromiyaa waggoottan kudha shanan (15) dhufanitti, gahee industirii waliigalaa %19.6 irraa gara %30htti, gahee industirii maanufaakchariingii %12.6 irraa gara %19htti guddisuuf karoorfatee hojjechaa jira. Bifuma walfakkaatuun, galma gahiinsa kaayyolee kanneeniif toorri xiyyeeffannoo sadi adda bahaniiru. Isaanis, dandeettii dhokataa naanniichi gama seektara kanaan qabu beksisuudhan investimantii harkisuu; investimantiifi industirii ammaan dura jiran babalhdhisuun dinagdee naannoofi biyya keenyaa guddisuufi fayyadamummaa ummataa mirkaneessuu; akkasumas, buhaa qabeessummaa investimantii mirkaneessuudhaan oomishaafi tajaajila dabaluudha. Gosoota industirii maanufaakchariingii sababoota siyaas-dinagdee irraa kahuun xiyyeeffannoo kenninee hojjechaa jirru keessaa tokko industirii maanufaakchariingii qonnaa (agro-industry) ti. Gosti industirii kun, gama tokkoon oomishaalee qonnaa kan oomishuufi akka galteetti kan fayyadamu yoo tahu, gama biraatiin meeshaalee galtee industirii qonnaa kan oomishuudha. Sochii kanaan, dinagdee qonnaa misooma industirii baadiyaa bittinnaahafii harkifataa ture gara boqonnaa industirii maanufaakchariingii qonnaa qindaahaafi saffisaatti ceesisuun baadiyyaa keenya kutaalee (zones) industirii maanufaakchariingii qonnaatti qindeessinee kan misoomsinu taha. Buhuuruma kanaan, gandoota baadiyaa gargar bittinnaahan walitti gurmeessun walitti hidhamiinsa oomishaafi industirii galtee qonnaa barbaadan keessa galchuun, magaalaafi baadiyyaa sonaafi cancala industirii qonnaa fayyadamuun wal-onnachiisan kan uumnu taha. Hojii guddina industirii baadiyyaafi magaalaa kanaan dingdeen gama lachuu kan walsimuufi walcimsu akka tahu hojjetamaa jira. Sadarkaa dinagdee gooroo (macro economy) ttis, misoomni industirii keenya kan walsimuufi walcimsu akka tahu galmi yeroo dheeraa qabamee raawwatamaa jira. Hundaahol, sochiin industirii qonnaa keenya, hawaasa keenya wiirtuu guddinichaa taasisuu, carraa hojii argamsiisufi abbaa qabeenyaa taasisuun dursa fayyadamoo taasisuu dhimma ijoo taasisee tarkaanfachaa kan jiruudha. Walumaagalatti haala qabatamaa biyya keenyaatiin walbira qabnee yoo ilaallu, karaa jajjabeessarra jirra. Haatahuutii, waldorgommiin keenya gama tokkoon kaayyoo, karooraafi galma kaawwanne gama biraatiin, adunyaa qaarihe waliin tahuu waan qabuuf, hoggansi sadarkaan jiruufi qooda fudhattoonni hundi kaayyoo, karoorafi galma gama kanaan kaawwanne ifaan ifatti hubatee akkasumas sababoota gufachiisoo jiran hunda moohatee gahee badhaadhina biyya keenyaa keessatti bahuu qabu akka bahu adaraa jechuun barbaada! #Oromia # Ethiopia  	oduu_biyya_keessaa	2023-10-10	https://www.fanabc.com/afaanoromoo/indaastiriin-maanufaakchariingii-toora-xiyyeeffannoo-shanan-mootummaan-naannoo-oromiyaa-qabu-keessaa-isa-tokkoo-pir-shimallis/
Yakkoota tajaajila walhansaan walqabatee raawwatu ittisuuf deeggarsi gaafatame	Yakkoota tajaajila walhansaan walqabatanii raawwataman ittisuuf hojmaannii fi dambiiwwan akka hojiirra oolfamaniif deeggarsi qaaamolee dhimmichi ilaalatuu akka barbaachisu Ministeerri Haqaa beeksise. Ministeerri Haqaa, qajeelfama “Qorannoo fi himannaa yakkoota walhaansaa fi tajaajila ogummaan walqabatanii” Fulbaana 8, 2016 raggaasisuun hojii eegaluun ni yaadatama. Sagantaan qajeelfamichaa beeksisuu fi mariin qaamolee dhimmichi ilaallatu biyyoota garaagaraarra babahan waliin gaggeefameera. Daayrektarri Jeneraalaa Wixineessaa fi Cuunfaa Qorannoo Seeraa Ministeera Haqaa Obbo Addis Geetinnat, qajeelfamichi gochoota yakkaa ogummaa walhaansaarratti raawwataman qorachuuf darbees himannaa banuuf kan gargaaruudha jedhan. Qajeelfamichi hojiirraa oolfamuun rakkoolee damichaan mulhatan gama furuutiin faayidaa olaanaa kan qabu tahuu dubbatanii, yakkoota raawwataman bifa qindaaheen qorachuuf kan tumsuudha jedhaniiru. Dabalataanis, damee walhaansaan naamusa ogummaa yeroo kamuu caalaa akka eegamu taasisuun ogeeyyiin hojiilee isaanii walabummaan akka hojjetan dandeettii kan uumuudha jedhaniiru. Qajeelfamichi hojiirra oolee sirna haqaarratti jijjiiramni qabatamaan akka dhufuuf qaamoleen dhimmichi ilaallatu gahee gama isaanii akka bahatan gaafatameera. #Oromiyaa #Itiyoophiyaa Odeeffannoowwan waqtaawaa dabalataa argachuuf;     nu duukaa buhaa Feesbuukii:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	oduu_biyya_keessaa	2023-11-11	https://www.fanabc.com/afaanoromoo/yakkoota-tajaajila-walansaan-walqabatee-raawwatu-ittisuuf-deeggarsi-gaafatame/
Guddina Diinagdee waliigalaaf moodeeliin qonnaa fi faayinaansii idil addunyaa haaraa fi cimaan barbaachisaadha Dooktar Abiy Ahimad	 Guddina Diinagdee waliigalaaf moodeeliin qonnaa fi faayinaansii idil addunyaa haaraa fi cimaan barbaachisaa tahuu Muummeen Ministiraa FDRI Dooktar Abiy Ahimad ibsaniiru. Dooktar Abiy yaahii sirna nyaataa 2ffaa Dhaabbata Mootummoota Gamtoomaniirratti hirmaachuu fuula miidiyaa hawaasummaa isaaniin ibsaniiru. Wabii nyaataa, carraa hojii uumuu fi Guddina Diinagdee waliigalaaf moodeeliin qonnaa fi faayinaansii idil addunyaa haaraa fi cimaan barbaachisaa tahuu Dooktar Abiy Ahimad ibsaniiru. Ityoophiyaan imaammataa fi tasiimoorra darbee humna misooma qonnaa guddisuu fi midhaan nyaataan of dandahuu mirkaneessuuf galmoota qabattee hojjechaa jiraachuu ibsaniiru. Dabalataan jijjiirama qabeenya qilleensaa qolachuuf hojiilee hedduu hojjetaa jiraachuu mirkaneessaniiru. #Oromia #Ethiopia  	oduu_biyya_keessaa	2023-07-24	https://www.fanabc.com/afaanoromoo/guddina-diinagdee-waliigalaaf-moodeeliin-qonnaa-fi-faayinaansii-idil-addunyaa-haaraa-fi-cimaan-barbaachisaadha-dooktar-abiy-ahimad/
Xaahoon biyyoo kuntaalli kumni 2 ol qaamolee seeraan alaa harkatti tohatame	 Naannoo Oromiyaatti Xaahoon biyyoo kuntaalli kumni 2 fi 300 ol qaamolee seeraan alaa harkatti tohatamuu ibsameera. Qaamoleen seeraan alaa hanqinni Xaahoo biyyoo akka mudatu taasiisu Itti Gaafatamaan Ejansii Waldaalee Hojii Gamtaa Oromiyaa Obbo Masfin Raggaasaan Faanaa Biroodkaasting Korporeetiif himaniiru. Xaahoon kuntaalli kumni 2 fi 300 ol tohatamuu eeraniiru. Sababa sosochii seeraan alaan qonnaa bultoonni xaahoo kuntaala 1 hanga Birrii kuma 11tti bituuf dirqamuu eerameera. Godina Shawaa Lixaatti hoggantoota mootummaa fi ogeeyyii dabalatee hojmaata seeraan alaa kana keessatti hirmaatanii argamuu ibsameera. Tarkaanfiin qaamolee seeraan alaa kanneenirratti fudhatamuu cimee kan itti fufu tahuu Itti Aanaan bulchaa godichaa Obbo Takkaalinyi Yimaamuu ibsaniiru. Afawarq Iyyaayyuutu gabaase. #Oromia #Ethiopia  	oduu_biyya_keessaa	2023-07-24	https://www.fanabc.com/afaanoromoo/xaaoon-biyyoo-kuntaalli-kumni-2-ol-qaamolee-seeraan-alaa-harkatti-toatame/
