headline	content	category	date	link
Yaaliiwwan haleellaa saayibarii Ityoophiyaarratti aggaamaman keessaa %97.7 fashalaahuu ibsame	  Baatiiwwan 9 darbanitti yaaliiwwan haleellaa saayibarii Ityoophiyaarratti aggaamaman kuma 5 fi 856 keessaa %97.7 fashalaahuu Bulchiinsi Nageenya Odeeffannoo beeksise.  Baatiiwwan 9 darbanitti haleellaawwan saayibarii miidhaa guddaa qaqqabsiisuu dandahan kumni 5 fi 856 Ityoophiyaarratti aggaamamuu fi kanneen keessaa %97.7 fashaleessuun dandahamuu Ittaanaan Daayrektara Olaanaa Bulchiinsa Nageenya Odeeffannoo obbo Salamoon Sookaa ibsaniiru. Obbo Salamoon kana kan ibsan raawwii karooraa bara 2014 bulchiinsichaa wayita Mana Maree Bakka Buhoota Uummataatti Koree Dhaabbii Dhimmoota Hariiroo Alaa fi Nageenyaaf dhiyeessanittidha. Haleellaan saaybarii baatiiwwan 9 darban Ityoophiyaarratti aggaamaman kan bara 2013 yeroo walfakkaataan yeroo madaalamu dacha afur (%400) dabaluu kaasaniiru. Haleellaawwan marsiritiiwwanii, Malweerii, tajaajila buhuuraalee misoomaa addaan kutuu fi gama oonlaayinii waliin dhahuu warreen baayyinaan aggamaman tahuu eeraniiru. Haleellaawwan kunneen buhuuraalee misoomaa murteessoo biyyaarratti xiyyeeffachuun kan aggaamaman tahuu ragaan bulchiinsicharraa argame ni mulhisa. Fuula Feesbuukii keenyaan dabalataa odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	teeknooloojii	2022-05-07	https://www.fanabc.com/afaanoromoo/yaaliiwwan-haleellaa-saayibarii-ityoophiyaarratti-aggaamaman-keessaa-%97-7-fashalaauu-ibsame/
Jiraattota magaalaa Finfinnee kuma 70 oliif waraqaan eenyummaa diijiitaalaa kenname	  Jiraattota magaalaa Finfinnee kuma 70 fi 748 waraqaan eenyummaa diijiitaalaa kennamuu Eejansiin Galmeessa Ragaalee Buhuuraa magaalicha beeksise. Daayreektarri tajaajila hawaasaa Eejansii Galmeessa Ragaalee Buhuuraa Finfinnee obbo Daawit Baqqalaa, jiraattota kutaa magaalaa Finfinnee 10 fi aanaalee 60f tajaajilli galmee fi waraqaa eenyummaa diijiitaala kennameera jedhan. Obbo Daawit tajaajilicha sihataa taasisuuf; harkifannaan neetwoorkii, ciccituun humna ibsaa fi hanqinni humna namaa tajaajilichatti gufuu taheera jedhan. Tajaajilicha aanaalee hunda waliin gahuuf hanqinaaleen meeshaa fi iddoon mijataan dhabamuun akkasumas hanqinni ogeessaa hojichaaf gufuu taheera jedhan. Akka gabaasa Dhaabbata Preesii Ityoophiyaatti hanqina mudate furuuf qama dhimmi ilaallatu waliin hojjetamaa jiraachuu dubbataniiru.	teeknooloojii	2019-12-30	https://www.fanabc.com/afaanoromoo/jiraattota-magaalaa-finfinnee-kuma-70-oliif-waraqaan-eenyummaa-diijiitaalaa-kenname/
Imaammanni Saayinsii,Teeknooloojii fi Innooveeshinii fooyyahe hojiirra oole	  Imaammanni Saayinsii, Teeknooloojii fi Innooveeshinii fooyyahe hojiirra ooluu ibsame. Imaammatichi galmoota ijoo fooyyahiinsa diinagdee biyya keessaa, carraa hojii uumuu, argannoo sharafa alaa, oomishtummaa biyyaalessaa guddisuu, qabeenya haaraa uumuufi hundagaleessummaa qabatee fooyyahuu eerameera. Ministirri Ministeera Innooveeshinii fi Teeknooloojii Dooktar Ballaxaa Mollaan Imaammata fooyyahe irratti miidiyaaleef ibsa laataniiru. Imaammatichi diinagdee ariifataa teeknooloojiin deeggarame ijaaruufi humna namaa gahaa fi leenjihe uumuuf yaadamee qophaahuu dubbataniiru. Imaammatichi balhinaan dameewwan qorannoo fi misoomaa, cehumsa misooma teeknooloojii, bulchiinsa beekumsaa, dorgomtummaa innooveeshinii fi intarpiraayizii, dhiyeessii maallaqaa, misooma naannawaafi aadaarratti hojjechuuf yaaduu Dooktar Ballaxaan eeruu ragaan ministeercharraa argame ni mulhsa. Feesbuukii keenyaan odeeffannoo waqtaawaa dabalataa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	teeknooloojii	2022-06-09	https://www.fanabc.com/afaanoromoo/imaammanni-saayinsiiteeknooloojii-fi-innooveeshinii-fooyyae-hojiirra-oole/
Feesbuukiin hojiiwwan daldala gadi aanoo tahaniif deeggarsa Doolaara miiliyoona 100 taasisuufi	  Feesbuukiin hojiiwwan daldala gadi aanoo tahaniif deeggarsa Doolaara Ameerikaa miiliyoona 100 taasisuufi. Dhaabbatichi hojiiwwan daldalaa biyyoota garaagaraa gadi aanoo tahan tumsuuf deeggarsa Doolaara Ameerikaa miiliyoona 100 akka taasisu beeksiseera. Deeggarsichi biyyoota addunyaa 30 keessatti kan argaman hojiiwwan daldaalaa gadi aanoo tahan kuma 30hf ni oola jedhameera. Deeggarsa maallaqichaarra darbees hojiiwwan beeksisaa tola akka hojjetuuf beeksiseera. Gama biraatin deeggarsi taasifamu kan akka kiraa mana, baasii hojjettootaa, baasii taajajila dhaabbilee waliin walqabatan akka uwwisus himameera. Dabalataanis leenjii fi deeggarsa teeknooloojii akka taasisus dhaabbatichi beeksiseera. Maddi:-foxnews.com	teeknooloojii	2020-03-18	https://www.fanabc.com/afaanoromoo/feesbuukiin-hojiiwwan-daldala-gadi-aanoo-taaniif-deeggarsa-doolaara-miiliyoona-100-taasisuufi/
Ityoophiyaan yaahii bulchiinsa marsariitii idil addunyaa 17ffaa gaggeessiturratti biyyoonni Afrikaa dammaqinaan akka hirmaataniif waamicha dhiyeessite	- Ityoophiyaan yaahii bulchiinsa marsariitii Idil addunyaa 17ffaa bara dhufu gaggeessiturratti biyyoonni Afrikaa dammaqinaan akka hirmaataniif waamicha dhiyeessite. Qaama yaahichaa kan tahe Yaahiin bulchiinsa marsariitii Afrikaa 11ffaan Maalaawwiitti gaggeeffameera. Yaahicharratti Ityoophiyaa bakka buhuun kan hirmaataan Ministir Deetaan Ministeera Innooveeshiniifi Teeknooloojii aadde Huuriyaa Aliin, yaahii bulchiinsa marsariitii idil addunyaa 17ffaa Ityoophiyaan bara dhufu gaggeessiturratti biyyoonni Afrikaa dammaqinaan akka hirmaataniif waamicha dhiyeessaniiru. Ityoophiyaan yaahicha milkaahinaan gaggeessuuf qophii tahuu mirkaneessaniiru. Damechaan, muuxannoo ityoophiyaan qabdu waltajjichaaf ibsaniiru.  Yaahiin ityoophiyatti gaggeeffamuu bulchiinsa interneetiin walqabatee, hanqinaalee biyyoonni afrikaa qabaan irratti xiyyeeffachuun kallattii furmaataa kan akeekuu fi baaftonni imammaataa yaadaa kahumsa akka argtaniif akka hojjetamu eeraniiru. Imammanni dijitaalaa Ityoophiyaa 2015 biyyoota Afriikaaf akka moodelaatti kan fudhatamuu tahuun waltajjicharratti dinqisiifannaa argateera. Odeeffannoowwan waqtaawaa dabalataa argachuuf;  Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo  Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Feesbook:https://www.facebook.com/afaanoromoofana/  Yeroo maraa nu waliin waan taataniif isin galateeffanna.	teeknooloojii	2022-07-25	https://www.fanabc.com/afaanoromoo/ityoophiyaan-yaaii-bulchiinsa-marsariitii-idil-addunyaa-17ffaa-gaggeessiturratti-biyyoonni-afrikaa-dammaqinaan-akka-hirmaataniif-waamicha-dhiyeessite/
Baankiin Addunyaa deeggarsa milkaahina traanisfoormeeshinii diijitaalaa Ityoophiyaaf taasisu cimsee kan itti fufu tahuu beeksise	- Baankiin Addunyaa deeggarsa milkaahina sagantaa traanisfoormeeshinii diijitaalaa Ityoophiyaaf taasisu cimsee kan itti fufu tahuu beeksiseera. Gareen Jila Baankii Addunyaarraa walitti babbahe Ityoophiyaatti waajjiraalee sagantaa traanisfoormeeshinii diijitaalaa hojiirra oolchan waliin haala hojiirra oolmaasaarratti marihateera. Yeroo itti aanutti ijaarsa buhuuraalee misoomaa fi proojektiiwwan dabalataa haala hojiirra oolchuun dandahamurratti marihatamuus ibsameera. Baankichi deeggarsa milkaahina traanisfoormeeshinii diijitaalaa Ityoophiyaaf taasisu cimsee kan itti fufu tahuu hogganaan Imaammata ICT baankichaa Dooktar Tiim Keeliin dubbataniiru. Ministir Deetaan Ministeera Innooveeshinii fi Teeknooloojii Huuriyaa Aliin raawwii proojektichaarratti ibsa kan laatan yoo tahu, deeggarsa baankichi taasisuuf galateeffachuu ragaan ministeericharraa argame ni mulhisa. Fuula Feesbuukii keenyaan dabalataa odeeffannoo waqtaawaa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Yeroo maraa nu waliin waan taataniif isin galateeffanna.	teeknooloojii	2022-05-28	https://www.fanabc.com/afaanoromoo/baankiin-addunyaa-deeggarsa-milkaaina-traanisfoormeeshinii-diijitaalaa-ityoophiyaaf-taasisu-cimsee-kan-itti-fufu-tauu-beeksise/
Kenniinsa tajaajilaa ammayyeessuuf xiyyeeffanoon hojjetamaa jira  Aadde Adaanach Abeebee	  Kenniinsa tajaajilaa caalmaatti ammayyeessuuf xiyyeeffanoon hojjetamaa jiraachuu Kantibaan magaalaa Finfinnee Aadde Adaanach Abeebeen ibsan. Leenjiin hubannoo ‘smart Cityh fi yaada tiraanisfoormeeshinii Diijitaalaa cimsuurratti xiyyeeffate qooda fudhattootaaf laatameera. Kenniinsa tajaajilaa ammayyaa,saffisaa fi jiraattoota magaalichaaf mitajatu laachuuf xiyyeeffaannoon hojjetamaa jiraachuu kantibaan magaalaa Finfinnee Aadde Adaanach Abeebeen ibsaniiru. Hojiileen teeknooloojii haala gurmaahiinsa qabuu fi akkaataa fedhii jiraattootaa guutuun qorannoon deeggaramee bifa haaraan akka gurmeessufu hojjetamaa jiraachuu dubbataniiru. Bulchiinsi magaaichaa kenniinsa tajaajilaa caalmaatti Teeknooloojii Diijitaalaan ayyammeessuuf xiyyeeffannoo addaan hojjetaa jiraachuu himuu isaanii ragaan Waajjira Kantibaarraa argame ni mulhisa. #Oromia #Ethiopia Odeeffannoowwan waqtaawaa dabalataa argachuuf; Teelegraama https://t.me/afanoromofana Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR Marsariitii fanabc.com/afaanoromoo Twiitara https://twitter.com/fanatelevision nu duukaa buhaa Feesbook:https://www.facebook.com/afaanoromoofana/ Yeroo maraa nu waliin waan taataniif isin galateeffanna.	teeknooloojii	2023-07-04	https://www.fanabc.com/afaanoromoo/kenniinsa-tajaajilaa-ammayyeessuuf-xiyyeeffanoon-hojjetamaa-jira-aadde-adaanach-abeebee/
Dargaggoo meeshaa garagaraatti fayyadamuun baajaajii humna elektiriikiin sochohu hojjete	  Dargaggoon nannoo Amaaraa godina Awwii aanaa Jaawwii jiraatu meeshaa garagaraatti fayyadamuun konkolaataa abbaa miila sadii (baajaajii) humna elektiriikiin sochohu hojjeteera. Dargaggoon Mahaammad Huseen jedhamu meehsaalee faayidaarra oolanitti fayyadamuun meeshaa waraanaa Kilaashii hojjechuun isaa ibsameera.  Kanumarraa kahuun konkolaataa abbaa miila sadii (baajaajii) humna elektiriikiin sochohu hojjechuu dandaheera. Dargaggoon kun baajaajii kana hojjetee xumuruuf Birrii kuma 20 baasii akka baase waajjirri koominikeeshinii aanaa Jaawwii beeksiseera.	teeknooloojii	2020-03-09	https://www.fanabc.com/afaanoromoo/dargaggoo-meeshaa-garagaraatti-fayyadamuun-baajaajii-humna-elektiriikiin-sochou-hojjete/
Raashiyaan saatalaayitii qunnamtii Briitaaniyaa 34 gara hawaatti ergite	  Raashiyaan saatalaayitii qunnamtii Briitaaniyaa 34 gara hawaatti ergite. Raashiyaan abbaan qabeenyummaa isaa ‘Waan Weebh kan jedhamu dhaabbata Briitaaniyaa kan tahan saatalaayitoota 34 gara hawaatti erguu ishee dhaabbanni qorannoo hawaa biyyatti Rooskoozmoos beeksiseera. Dhaabbatichi saatalaayitoota gara hawaa kan erge bara Faranjoota 2015 waliigaltee dhaabbata ‘Waan Weebh waliin ture buhuureffachuudhani jedhame.  Fuldurattis ‘Waan Weebh buhuuruma waliigaltee dhaabbaticha waliin qabuun saatalaayitoota qunnamtii 600 tahan gara hawaatti kan ergu tahuu ifoomsera. Kanumarraa kahuun bara Faranjoota 2021 odeeffannoowwan garagaraa sadarkaa idil addunyaatti waliin gahuuf karoora qabaachuu ibseera. Maddi:- Zhiinwaa	teeknooloojii	2020-02-11	https://www.fanabc.com/afaanoromoo/raashiyaan-saatalaayitii-qunnamtii-briitaaniyaa-34-gara-hawaatti-ergite/
Bara kana dhaabbileen mootummaa 400 tajaajila ‘onlineh akka laataan hojjetamaa jiraachuu ibsame	  Bara 2014 dhaabbileen mootummaa 400 tajaajila ‘onlineh akka laataan hojjetamaa jiraachuu Ministeerri Innooveeshinii fi Teeknooloojii beeksiise.    Hojmaatawwan Ministeera Innooveeshinii fi Teeknooloojiin misoomaaniin tajaajiloonni 168 onlaayiiniin laatamaa jiraachuu eerameera.    Tajaajilli onlaayiinii aanaa fi gandatti komii hawaasni tajaajilawwan irratti kaasan karaa itti gaafatamummaa qabuun laachuuf kan dandeessisu tahuu Ministir Deetaan Ministeera Innooveeshinii fi Teeknooloojii Huuriyaa Alii ibsaniiru.    Dhamaatii lammiilee hirhisuu, yeroo fi humna qusachuuf dhaabbileen onlaayiinii tajaajila akka laatan hojjetamaa jiraachuu kaasaniiru.    Waggoottan kurnan itti aanaan dhaabbileen mootummaa kumni 2 fi 500 tajaajila online akka laatan kan hojjetamu tahuu himaniiru.    Magaalaa Finfinneetti dhaabbileen mootummaa filataman onlaayiiniinntajaajila akka laatan ogeeyyii kutaalee magaalaaf leenjiin kennamuu kaasaniiru.    Bara 2014 dhaabbileen mootummaa 400 tajaajila onlaayiiniin akka laataan hojjetamaa jiraachuu Ministir Deetaan Ministeera Innooveeshinii fi Teeknooloojii Huuriyaa Alii himuu isaanii ragaan Ministeerichaarraa argame ni muulhisa.    Ityoophiyaa :- Haa Misoomsinu, Haa Ijaarru, Haa qophoofnu!!!    Fuula Feesbuukii keenyan dabalata odeeffannoo waqtaawaa argachuuf;    Teelegraama https://t.me/afanoromofana    Yuutyuubii Afaan Oromo: https://bit.ly/3FjfCXR    Marsariitii fanabc.com/afaanoromoo    Twiitara https://twitter.com/fanatelevision nu duukaa buhaa    Yeroo maraa nu waliin waan taataniif isin galateeffanna.	teeknooloojii	2022-02-07	https://www.fanabc.com/afaanoromoo/bara-kana-dhaabbileen-mootummaa-400-tajaajila-online-akka-laataan-hojjetamaa-jiraachuu-ibsame/
